timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface
2025-09-26T14:20:10Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0
2025-09-26T14:20:12Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0
2025-09-26T14:20:15Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0
2025-09-26T15:00:00Z,10.0.0.5,198.51.100.100,443,52345,TCP,ALLOW,104857600,201,eth1
2025-09-26T15:00:05Z,10.0.0.5,198.51.100.101,443,52346,TCP,ALLOW,2048000,201,eth1
2025-09-26T15:01:00Z,10.0.0.8,10.0.0.9,445,49152,TCP,ALLOW,5120,301,br0
2025-09-26T15:02:10Z,203.0.113.45,10.0.0.10,5678,3389,TCP,DENY,0,102,eth0
2025-09-26T16:10:00Z,192.0.2.10,10.0.0.20,12345,80,TCP,ALLOW,3456,150,eth2
2025-09-26T16:11:00Z,192.0.2.11,10.0.0.20,12346,80,TCP,ALLOW,4096,150,eth2
2025-09-26T16:11:10Z,192.0.2.12,10.0.0.20,12347,80,TCP,ALLOW,5120,150,eth2
2025-09-26T16:15:00Z,10.0.1.5,203.0.113.200,5678,8080,TCP,ALLOW,10240,210,eth1
2025-09-26T17:00:00Z,203.0.113.55,10.0.0.30,33333,22,TCP,DENY,0,101,eth0
2025-09-26T17:05:00Z,10.0.0.30,198.51.100.200,40000,80,TCP,ALLOW,8192,201,eth1
2025-09-26T17:05:10Z,10.0.0.30,198.51.100.200,40001,443,TCP,ALLOW,16384,201,eth1
2025-09-26T18:00:00Z,10.0.0.50,10.0.0.51,2222,22,TCP,ALLOW,128,301,br0
2025-09-26T18:00:01Z,10.0.0.50,10.0.0.51,2223,22,TCP,ALLOW,128,301,br0
2025-09-26T18:00:02Z,10.0.0.50,10.0.0.51,2224,22,TCP,ALLOW,128,301,br0
2025-09-26T19:00:00Z,198.51.100.45,10.0.0.60,60000,3306,TCP,DENY,0,103,eth0
2025-09-26T19:01:00Z,10.0.0.60,203.0.113.77,40000,53,UDP,ALLOW,64,210,eth1
2025-09-26T19:01:05Z,10.0.0.60,203.0.113.78,40001,53,UDP,ALLOW,128,210,eth1
2025-09-26T19:10:00Z,10.0.0.70,198.51.100.150,50000,22,TCP,DENY,0,101,eth0
2025-09-26T19:15:00Z,10.0.0.80,198.51.100.151,52000,21,TCP,DENY,0,104,eth0
2025-09-26T20:00:00Z,10.0.0.90,203.0.113.99,40002,8443,TCP,ALLOW,65536,201,eth1
2025-09-26T20:05:00Z,198.51.100.200,10.0.0.95,1234,22,TCP,DENY,0,101,eth0
2025-09-26T20:10:00Z,10.0.0.95,198.51.100.201,45000,80,TCP,ALLOW,204800,201,eth1
2025-09-26T20:12:00Z,10.0.0.95,198.51.100.202,45001,443,TCP,ALLOW,409600,201,eth1
2025-09-26T21:00:00Z,198.51.100.210,10.0.0.100,65000,25,TCP,DENY,0,105,eth0
2025-09-26T21:05:00Z,10.0.0.101,8.8.8.8,54321,53,UDP,ALLOW,240,210,eth1
2025-09-26T21:05:05Z,10.0.0.101,8.8.4.4,54322,53,UDP,ALLOW,240,210,eth1
2025-09-26T21:10:00Z,10.0.0.102,203.0.113.120,50000,8080,TCP,ALLOW,1024000,201,eth1
2025-09-26T21:20:00Z,203.0.113.130,10.0.0.110,60000,3389,TCP,DENY,0,102,eth0
2025-09-26T21:25:00Z,10.0.0.111,192.0.2.50,52000,443,TCP,ALLOW,51200,201,eth1
2025-09-26T21:30:00Z,10.0.0.112,192.0.2.51,52001,22,TCP,DENY,0,101,eth0
2025-09-26T22:00:00Z,10.0.0.120,198.51.100.250,41000,110,TCP,ALLOW,4096,201,eth1
2025-09-26T22:05:00Z,198.51.100.250,10.0.0.121,33333,143,TCP,DENY,0,105,eth0
2025-09-26T22:10:00Z,10.0.0.122,203.0.113.140,45002,8443,TCP,ALLOW,20480,201,eth1
2025-09-26T22:15:00Z,198.51.100.251,10.0.0.123,60000,23,TCP,DENY,0,104,eth0
2025-09-26T22:20:00Z,10.0.0.124,198.51.100.252,42000,80,TCP,ALLOW,30720,201,eth1
2025-09-26T22:25:00Z,10.0.0.125,198.51.100.253,42001,443,TCP,ALLOW,61440,201,eth1
2025-09-26T22:30:00Z,10.0.0.126,203.0.113.150,43000,22,TCP,DENY,0,101,eth0
2025-09-26T22:35:00Z,198.51.100.254,10.0.0.127,10000,3389,TCP,DENY,0,102,eth0
2025-09-26T23:00:00Z,10.0.0.200,192.0.2.60,55000,443,TCP,ALLOW,921600,201,eth1
