timestamp,action,user,rip,lip,attempts,duration_secs,bytes_in,bytes_out
2026-01-15 06:26:59,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:26:59,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:26:59,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,8,416
2026-01-15 06:26:59,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,124,725
2026-01-15 06:26:59,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:26:59,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,70,599
2026-01-15 06:27:00,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:27:00,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,221,15642
2026-01-15 06:28:13,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:28:13,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,112,669
2026-01-15 06:28:13,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:28:13,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,368,67068
2026-01-15 06:30:27,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:30:27,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,986,610
2026-01-15 06:44:51,Login,samantha.thornton,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:44:51,Login,samantha.thornton,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:44:51,Logged out,samantha.thornton,172.17.131.81,172.17.131.81,0,0,8,416
2026-01-15 06:44:51,Logged out,samantha.thornton,172.17.131.81,172.17.131.81,0,0,124,725
2026-01-15 06:44:51,Login,samantha.thornton,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:44:51,Logged out,samantha.thornton,172.17.131.81,172.17.131.81,0,0,70,599
2026-01-15 06:44:52,Login,samantha.thornton,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 06:44:52,Logged out,samantha.thornton,172.17.131.81,172.17.131.81,0,0,221,18281
2026-01-15 07:04:36,Login,samantha.thornton,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:04:36,Logged out,samantha.thornton,172.17.131.81,172.17.131.81,0,0,184,18193
2026-01-15 07:16:26,Login,meghan.morris,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:16:26,Login,meghan.morris,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:16:26,Logged out,meghan.morris,172.17.131.81,172.17.131.81,0,0,8,416
2026-01-15 07:16:26,Logged out,meghan.morris,172.17.131.81,172.17.131.81,0,0,124,725
2026-01-15 07:16:26,Login,meghan.morris,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:16:26,Logged out,meghan.morris,172.17.131.81,172.17.131.81,0,0,70,599
2026-01-15 07:16:26,Login,meghan.morris,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:16:26,Logged out,meghan.morris,172.17.131.81,172.17.131.81,0,0,221,7495
2026-01-15 07:17:24,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:17:24,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:17:24,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,8,416
2026-01-15 07:17:24,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,124,725
2026-01-15 07:17:25,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:17:25,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,70,599
2026-01-15 07:17:25,Login,daniel.morgan,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:17:26,Logged out,daniel.morgan,172.17.131.81,172.17.131.81,0,0,221,15598
2026-01-15 07:35:40,Login,meghan.morris,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:35:40,Logged out,meghan.morris,172.17.131.81,172.17.131.81,0,0,184,7399
2026-01-15 07:36:10,Login,meghan.morris,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:36:10,Logged out,meghan.morris,172.17.131.81,172.17.131.81,0,0,326,5344
2026-01-15 07:36:44,Login,meghan.morris,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:36:44,Logged out,meghan.morris,172.17.131.81,172.17.131.81,0,0,112,669
2026-01-15 07:38:28,Login,meghan.morris,172.17.131.81,172.17.131.81,0,0,0,0
2026-01-15 07:38:28,Logged out,meghan.morris,172.17.131.81,172.17.131.81,0,0,1026,611
